iter	Passed	Remaining
0	0	78
1	1	73
2	2	73
3	2	69
4	3	66
5	4	64
6	4	62
7	5	60
8	5	58
9	6	57
10	7	57
11	7	58
12	8	58
13	9	57
14	10	57
15	10	57
16	11	57
17	12	56
18	13	56
19	13	55
20	14	55
21	15	55
22	16	54
23	17	53
24	17	52
25	18	51
26	18	50
27	19	49
28	19	48
29	20	47
30	20	46
31	21	45
32	21	44
33	22	43
34	23	42
35	23	42
36	24	41
37	24	40
38	25	40
39	26	39
40	26	38
41	26	37
42	27	36
43	28	35
44	28	35
45	29	34
46	29	33
47	30	32
48	31	32
49	31	31
50	32	30
51	32	30
52	33	29
53	34	29
54	34	28
55	35	27
56	35	26
57	36	26
58	37	25
59	37	25
60	38	24
61	38	23
62	39	23
63	40	22
64	40	22
65	41	21
66	42	20
67	42	20
68	43	19
69	44	18
70	45	18
71	45	17
72	46	17
73	47	16
74	47	15
75	48	15
76	49	14
77	49	14
78	50	13
79	51	12
80	51	12
81	52	11
82	52	10
83	53	10
84	54	9
85	54	8
86	55	8
87	56	7
88	56	7
89	57	6
90	58	5
91	59	5
92	59	4
93	60	3
94	61	3
95	61	2
96	62	1
97	62	1
98	63	0
99	64	0
